url,date,title,changes,file_name,reason_for_consistence,is_trivial,old_hunk_file,new_hunk_file,old_loc,new_loc,old_log,new_log,edit_types,edit_words,edit_feature,cluster
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1082.cpp,use same text format,trivial,data/crawl/make/old_hunk_1082.cpp,data/crawl/make/new_hunk_1082.cpp,23,23,"fputs (""no"", stdout);","fputs (_(""no""), stdout);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1082.cpp,use same text format,trivial,data/crawl/make/old_hunk_1082.cpp,data/crawl/make/new_hunk_1082.cpp,26,26,"fputs ("" impossibilities"", stdout);","fputs (_("" impossibilities""), stdout);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1083.cpp,use same text format,trivial,data/crawl/make/old_hunk_1083.cpp,data/crawl/make/new_hunk_1083.cpp,3,3,"fputs (""No"", stdout);","fputs (_(""No""), stdout);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1083.cpp,use same text format,trivial,data/crawl/make/old_hunk_1083.cpp,data/crawl/make/new_hunk_1083.cpp,6,6,"fputs ("" files, "", stdout);","fputs (_("" files, ""), stdout);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1083.cpp,use same text format,trivial,data/crawl/make/old_hunk_1083.cpp,data/crawl/make/new_hunk_1083.cpp,8,8,"fputs (""no"", stdout);","fputs (_(""no""), stdout);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1083.cpp,use same text format,trivial,data/crawl/make/old_hunk_1083.cpp,data/crawl/make/new_hunk_1083.cpp,11,11,"printf ("" impossibilities in %u directories.\n"", dirs);","printf (_("" impossibilities in %u directories.\n""), dirs);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1084.cpp,use same text format,trivial,data/crawl/make/old_hunk_1084.cpp,data/crawl/make/new_hunk_1084.cpp,2,2,"fatal (reading_file,
           ""Recursive variable `%s' references itself (eventually)"", v->name);","fatal (reading_file,
           _(""Recursive variable `%s' references itself (eventually)""),
           v->name);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1085.cpp,use same text format,trivial,data/crawl/make/old_hunk_1085.cpp,data/crawl/make/new_hunk_1085.cpp,2,2,"error (reading_file,
           ""warning: undefined variable `%.*s'"", (int)length, name);","error (reading_file,
           _(""warning: undefined variable `%.*s'""), (int)length, name);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1086.cpp,use same text format,trivial,data/crawl/make/old_hunk_1086.cpp,data/crawl/make/new_hunk_1086.cpp,3,3,"fatal (reading_file, ""unterminated variable reference"");","fatal (reading_file, _(""unterminated variable reference""));","[""addVariable""]","[[], [""_""]]",[12160036574],1643
http://git.savannah.gnu.org/cgit/make.git/commit/?id=28ef4c4dacc6fee628e65f07b52a4d2f0efe7fb3,28 Jul 1999,"* Add gettext macros to start i18n support.
",723,data/crawl/make/hunk_1088.cpp,use same text format,trivial,data/crawl/make/old_hunk_1088.cpp,data/crawl/make/new_hunk_1088.cpp,3,3,"fatal (NILF, ""can't rename single-colon `%s' to double-colon `%s'"",
	       oldname, name);","fatal (NILF, _(""can't rename single-colon `%s' to double-colon `%s'""),
	       oldname, name);","[""addVariable""]","[[], [""_""]]",[12160036574],1643
